# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=8459
# Generated: 2026-07-20 11:53:55
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740002,0.769999,-116.767000,113.485700,50
# WP: 1.770000,0.970001,12.479080,108.782400,50
# WP: 2.438963,-2.440071,135.000000,0.027976,50
# WP: -2.440071,-2.438963,-135.000000,0.027976,50

Time,X,Z,Theta1,Theta2
0.106,1.643648,1.143116,6.119079,109.453200
0.107,1.642373,1.144676,6.059079,109.459600
0.108,1.641098,1.146235,5.999079,109.465900
0.109,1.639820,1.147793,5.939079,109.472200
0.110,1.638542,1.149350,5.879079,109.478500
0.111,1.637261,1.150905,5.819079,109.484900
0.112,1.635980,1.152458,5.759079,109.491200
0.113,1.634697,1.154011,5.699079,109.497500
0.114,1.633412,1.155562,5.639079,109.503900
0.115,1.632126,1.157111,5.579079,109.510200
0.116,1.630839,1.158659,5.519079,109.516500
0.117,1.629549,1.160205,5.459079,109.522900
0.118,1.628259,1.161751,5.399079,109.529200
0.119,1.626967,1.163294,5.339079,109.535500
0.120,1.625673,1.164837,5.279079,109.541800
0.121,1.624378,1.166378,5.219079,109.548200
0.122,1.623082,1.167917,5.159079,109.554500
0.123,1.621784,1.169455,5.099079,109.560800
0.124,1.620485,1.170992,5.039079,109.567100
0.125,1.619184,1.172527,4.979079,109.573500
0.126,1.617882,1.174061,4.919079,109.579800
0.127,1.616578,1.175593,4.859079,109.586100
0.128,1.615273,1.177124,4.799079,109.592500
0.129,1.613967,1.178653,4.739079,109.598800
0.130,1.612659,1.180181,4.679079,109.605100
0.131,1.611349,1.181708,4.619079,109.611500
0.132,1.610038,1.183233,4.559080,109.617800
0.133,1.608726,1.184757,4.499079,109.624100
0.134,1.607412,1.186279,4.439079,109.630400
0.135,1.606097,1.187800,4.379079,109.636800
0.136,1.604780,1.189319,4.319079,109.643100
0.137,1.603462,1.190837,4.259079,109.649400
0.138,1.602142,1.192353,4.199079,109.655700
0.139,1.600821,1.193868,4.139079,109.662100
0.140,1.599499,1.195382,4.079080,109.668400
0.141,1.598175,1.196894,4.019079,109.674700
0.142,1.596850,1.198405,3.959079,109.681100
0.143,1.595523,1.199914,3.899079,109.687400
0.144,1.594195,1.201421,3.839079,109.693700
0.145,1.592865,1.202928,3.779079,109.700100
0.146,1.591534,1.204433,3.719079,109.706400
0.147,1.590202,1.205936,3.659079,109.712700
0.148,1.588868,1.207438,3.599079,109.719000
0.149,1.587533,1.208938,3.539079,109.725400
0.150,1.586196,1.210437,3.479079,109.731700
0.151,1.584858,1.211935,3.419079,109.738000
0.152,1.583519,1.213431,3.359079,109.744300
0.153,1.582178,1.214926,3.299078,109.750700
0.154,1.580835,1.216419,3.239078,109.757000
0.155,1.579491,1.217910,3.179079,109.763300
0.156,1.578146,1.219400,3.119079,109.769700
0.157,1.576800,1.220889,3.059079,109.776000
0.158,1.575452,1.222376,2.999079,109.782300
0.159,1.574102,1.223862,2.939079,109.788700
0.160,1.572752,1.225346,2.879079,109.795000
0.161,1.571399,1.226829,2.819079,109.801300
