# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9002
# Generated: 2026-07-14 21:33:55
# WAYPOINTS:
# WP: -1.470000,2.750000,-51.618740,50.799720,84
# WP: 1.320000,3.120000,12.779660,21.856800,50
# WP: 2.040000,2.480000,19.525560,42.993950,64
# WP: 0.830000,1.910000,-24.239910,106.112900,56
# WP: -1.440000,0.900000,-111.616300,121.530700,50
# WP: -2.640000,0.630000,-111.647500,76.464970,22
# WP: 2.890000,1.240000,44.249700,48.691380,50

Time,X,Z,Theta1,Theta2
0.104,2.616980,1.738730,33.766490,48.921910
0.105,2.613925,1.743270,33.665700,48.924130
0.106,2.610862,1.747804,33.564890,48.926350
0.107,2.607792,1.752334,33.464090,48.928560
0.108,2.604713,1.756857,33.363290,48.930780
0.109,2.601627,1.761375,33.262490,48.933000
0.110,2.598532,1.765888,33.161690,48.935210
0.111,2.595430,1.770396,33.060890,48.937430
0.112,2.592321,1.774897,32.960090,48.939650
0.113,2.589203,1.779394,32.859290,48.941860
0.114,2.586077,1.783885,32.758500,48.944080
0.115,2.582944,1.788371,32.657690,48.946300
0.116,2.579803,1.792851,32.556890,48.948510
0.117,2.576654,1.797325,32.456090,48.950730
0.118,2.573497,1.801794,32.355290,48.952950
0.119,2.570333,1.806257,32.254490,48.955170
0.120,2.567161,1.810715,32.153690,48.957380
0.121,2.563981,1.815168,32.052890,48.959600
0.122,2.560793,1.819614,31.952090,48.961810
0.123,2.557598,1.824055,31.851290,48.964030
0.124,2.554395,1.828491,31.750490,48.966250
0.125,2.551184,1.832921,31.649690,48.968470
0.126,2.547966,1.837345,31.548890,48.970680
0.127,2.544740,1.841763,31.448090,48.972900
0.128,2.541506,1.846176,31.347290,48.975120
0.129,2.538265,1.850584,31.246490,48.977330
0.130,2.535016,1.854985,31.145690,48.979550
0.131,2.531759,1.859381,31.044890,48.981770
0.132,2.528495,1.863771,30.944090,48.983980
0.133,2.525223,1.868156,30.843290,48.986200
0.134,2.521944,1.872534,30.742490,48.988420
0.135,2.518657,1.876907,30.641690,48.990630
0.136,2.515362,1.881274,30.540890,48.992850
0.137,2.512060,1.885635,30.440090,48.995070
0.138,2.508750,1.889991,30.339290,48.997280
0.139,2.505433,1.894341,30.238490,48.999500
0.140,2.502108,1.898685,30.137700,49.001720
0.141,2.498775,1.903023,30.036890,49.003930
0.142,2.495435,1.907355,29.936090,49.006150
0.143,2.492088,1.911681,29.835290,49.008370
0.144,2.488733,1.916002,29.734490,49.010590
0.145,2.485371,1.920316,29.633690,49.012800
0.146,2.482001,1.924625,29.532890,49.015020
0.147,2.478623,1.928928,29.432090,49.017230
0.148,2.475239,1.933225,29.331290,49.019450
0.149,2.471846,1.937515,29.230490,49.021670
0.150,2.468446,1.941801,29.129690,49.023890
0.151,2.465039,1.946080,29.028890,49.026100
0.152,2.461625,1.950353,28.928090,49.028320
0.153,2.458203,1.954620,28.827290,49.030540
0.154,2.454773,1.958881,28.726490,49.032750
0.155,2.451337,1.963136,28.625690,49.034970
0.156,2.447892,1.967385,28.524890,49.037190
0.157,2.444441,1.971627,28.424090,49.039400
0.158,2.440982,1.975864,28.323290,49.041620
0.159,2.437516,1.980095,28.222490,49.043840
0.160,2.434042,1.984320,28.121690,49.046050
0.161,2.430561,1.988539,28.020890,49.048270
0.162,2.427073,1.992751,27.920090,49.050490
0.163,2.423578,1.996958,27.819290,49.052700
0.164,2.420075,2.001158,27.718490,49.054920
0.165,2.416565,2.005352,27.617690,49.057140
0.166,2.413048,2.009540,27.516890,49.059360
0.167,2.409523,2.013722,27.416090,49.061570
0.168,2.405991,2.017897,27.315290,49.063790
0.169,2.402452,2.022067,27.214490,49.066010
0.170,2.398906,2.026230,27.113690,49.068220
0.171,2.395352,2.030387,27.012890,49.070440
0.172,2.391792,2.034538,26.912090,49.072650
0.173,2.388224,2.038682,26.811290,49.074870
0.174,2.384649,2.042820,26.710490,49.077090
0.175,2.381066,2.046952,26.609690,49.079310
0.176,2.377477,2.051078,26.508890,49.081520
0.177,2.373880,2.055198,26.408090,49.083740
0.178,2.370277,2.059311,26.307290,49.085960
0.179,2.366666,2.063418,26.206490,49.088170
0.180,2.363048,2.067518,26.105690,49.090390
0.181,2.359423,2.071612,26.004890,49.092610
0.182,2.355790,2.075700,25.904090,49.094830
0.183,2.352151,2.079781,25.803290,49.097040
0.184,2.348505,2.083856,25.702490,49.099260
0.185,2.344851,2.087925,25.601690,49.101470
0.186,2.341191,2.091987,25.500890,49.103690
0.187,2.337524,2.096043,25.400090,49.105910
0.188,2.333849,2.100092,25.299290,49.108120
0.189,2.330168,2.104135,25.198490,49.110340
0.190,2.326479,2.108172,25.097690,49.112560
0.191,2.322784,2.112202,24.996890,49.114780
0.192,2.319081,2.116225,24.896090,49.116990
0.193,2.315372,2.120242,24.795290,49.119210
0.194,2.311656,2.124253,24.694490,49.121430
0.195,2.307932,2.128257,24.593690,49.123640
0.196,2.304202,2.132254,24.492890,49.125860
0.197,2.300464,2.136245,24.392090,49.128070
0.198,2.296720,2.140230,24.291290,49.130290
0.199,2.292969,2.144207,24.190490,49.132510
0.200,2.289212,2.148179,24.089690,49.134730
0.201,2.285447,2.152143,23.988890,49.136940
0.202,2.281675,2.156101,23.888090,49.139160
0.203,2.277896,2.160053,23.787290,49.141380
0.204,2.274111,2.163998,23.686490,49.143590
0.205,2.270319,2.167936,23.585690,49.145810
0.206,2.266520,2.171868,23.484890,49.148030
0.207,2.262714,2.175792,23.384090,49.150250
0.208,2.258902,2.179711,23.283290,49.152460
0.209,2.255082,2.183622,23.182490,49.154680
0.210,2.251256,2.187527,23.081690,49.156890
0.211,2.247423,2.191425,22.980890,49.159110
0.212,2.243583,2.195317,22.880090,49.161330
0.213,2.239737,2.199202,22.779290,49.163540
0.214,2.235883,2.203079,22.678490,49.165760
0.215,2.232024,2.206951,22.577690,49.167980
0.216,2.228157,2.210815,22.476890,49.170200
0.217,2.224284,2.214673,22.376090,49.172410
0.218,2.220404,2.218524,22.275290,49.174630
0.219,2.216517,2.222368,22.174490,49.176850
0.220,2.212624,2.226205,22.073690,49.179060
0.221,2.208724,2.230036,21.972890,49.181280
0.222,2.204818,2.233859,21.872090,49.183500
0.223,2.200904,2.237676,21.771290,49.185710
0.224,2.196985,2.241486,21.670490,49.187930
0.225,2.193058,2.245289,21.569690,49.190150
0.226,2.189125,2.249085,21.468890,49.192360
0.227,2.185186,2.252875,21.368090,49.194580
0.228,2.181240,2.256657,21.267290,49.196800
0.229,2.177287,2.260432,21.166490,49.199010
0.230,2.173328,2.264201,21.065690,49.201230
0.231,2.169362,2.267962,20.964890,49.203450
0.232,2.165390,2.271717,20.864090,49.205670
0.233,2.161411,2.275465,20.763290,49.207880
0.234,2.157426,2.279206,20.662490,49.210100
0.235,2.153435,2.282940,20.561690,49.212310
0.236,2.149436,2.286666,20.460890,49.214530
0.237,2.145432,2.290386,20.360090,49.216750
0.238,2.141421,2.294099,20.259290,49.218970
0.239,2.137403,2.297805,20.158490,49.221180
0.240,2.133379,2.301503,20.057690,49.223400
0.241,2.129349,2.305195,19.956890,49.225620
0.242,2.125312,2.308880,19.856090,49.227830
0.243,2.121269,2.312557,19.755290,49.230050
0.244,2.117220,2.316228,19.654490,49.232270
0.245,2.113164,2.319891,19.553690,49.234480
0.246,2.109102,2.323547,19.452890,49.236700
0.247,2.105034,2.327196,19.352090,49.238920
0.248,2.100959,2.330839,19.251290,49.241130
0.249,2.096878,2.334473,19.150490,49.243350
0.250,2.092791,2.338101,19.049690,49.245570
0.251,2.088697,2.341722,18.948890,49.247780
0.252,2.084597,2.345335,18.848090,49.250000
0.253,2.080491,2.348941,18.747290,49.252220
0.254,2.076379,2.352540,18.646490,49.254440
0.255,2.072260,2.356132,18.545690,49.256650
0.256,2.068135,2.359717,18.444890,49.258870
0.257,2.064004,2.363294,18.344090,49.261090
0.258,2.059867,2.366864,18.243290,49.263300
0.259,2.055724,2.370428,18.142490,49.265520
0.260,2.051574,2.373983,18.041690,49.267730
0.261,2.047419,2.377532,17.940890,49.269950
0.262,2.043257,2.381073,17.840090,49.272170
0.263,2.039089,2.384607,17.739290,49.274390
0.264,2.034915,2.388133,17.638490,49.276600
0.265,2.030735,2.391652,17.537690,49.278820
0.266,2.026549,2.395164,17.436890,49.281040
0.267,2.022356,2.398669,17.336090,49.283250
0.268,2.018158,2.402166,17.235290,49.285470
0.269,2.013953,2.405656,17.134490,49.287690
0.270,2.009743,2.409139,17.033690,49.289910
0.271,2.005527,2.412614,16.932890,49.292120
0.272,2.001304,2.416082,16.832090,49.294340
0.273,1.997076,2.419542,16.731290,49.296550
0.274,1.992841,2.422995,16.630490,49.298770
0.275,1.988601,2.426441,16.529690,49.300990
0.276,1.984354,2.429879,16.428890,49.303200
0.277,1.980102,2.433310,16.328090,49.305420
0.278,1.975844,2.436733,16.227290,49.307640
0.279,1.971580,2.440149,16.126490,49.309860
0.280,1.967310,2.443558,16.025690,49.312070
0.281,1.963034,2.446959,15.924890,49.314290
0.282,1.958752,2.450352,15.824090,49.316510
0.283,1.954464,2.453738,15.723290,49.318720
0.284,1.950171,2.457116,15.622490,49.320940
0.285,1.945871,2.460487,15.521690,49.323150
0.286,1.941566,2.463851,15.420890,49.325370
0.287,1.937255,2.467206,15.320090,49.327590
0.288,1.932938,2.470555,15.219290,49.329810
0.289,1.928615,2.473896,15.118490,49.332020
0.290,1.924287,2.477229,15.017690,49.334240
0.291,1.919953,2.480555,14.916890,49.336460
0.292,1.915613,2.483873,14.816090,49.338670
0.293,1.911267,2.487183,14.715290,49.340890
0.294,1.906916,2.490486,14.614490,49.343110
0.295,1.902558,2.493781,14.513690,49.345330
0.296,1.898196,2.497069,14.412890,49.347540
0.297,1.893827,2.500349,14.312090,49.349760
