# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.090,-2.559263,-2.307836,-134.566300,5.427976
0.091,-2.560517,-2.306317,-134.561500,5.487977
0.092,-2.561769,-2.304797,-134.556600,5.547976
0.093,-2.563019,-2.303275,-134.551800,5.607976
0.094,-2.564267,-2.301753,-134.547000,5.667976
0.095,-2.565515,-2.300229,-134.542200,5.727976
0.096,-2.566760,-2.298703,-134.537400,5.787977
0.097,-2.568004,-2.297177,-134.532500,5.847977
0.098,-2.569247,-2.295649,-134.527700,5.907976
0.099,-2.570487,-2.294120,-134.522900,5.967977
0.100,-2.571726,-2.292590,-134.518100,6.027977
0.101,-2.572964,-2.291058,-134.513300,6.087977
0.102,-2.574199,-2.289526,-134.508500,6.147977
0.103,-2.575433,-2.287991,-134.503600,6.207976
0.104,-2.576666,-2.286455,-134.498800,6.267977
0.105,-2.577897,-2.284919,-134.494000,6.327977
0.106,-2.579126,-2.283381,-134.489200,6.387977
0.107,-2.580354,-2.281841,-134.484400,6.447977
0.108,-2.581580,-2.280300,-134.479500,6.507977
0.109,-2.582805,-2.278759,-134.474700,6.567976
0.110,-2.584028,-2.277215,-134.469900,6.627977
0.111,-2.585248,-2.275671,-134.465100,6.687977
0.112,-2.586468,-2.274125,-134.460300,6.747977
0.113,-2.587686,-2.272578,-134.455400,6.807977
0.114,-2.588902,-2.271030,-134.450600,6.867977
