# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.299,-2.784375,-1.964923,-133.559100,17.967980
0.300,-2.785265,-1.963173,-133.554300,18.027980
0.301,-2.786153,-1.961423,-133.549500,18.087980
0.302,-2.787039,-1.959672,-133.544600,18.147980
0.303,-2.787923,-1.957919,-133.539800,18.207980
0.304,-2.788805,-1.956167,-133.535000,18.267980
0.305,-2.789686,-1.954413,-133.530200,18.327980
0.306,-2.790565,-1.952658,-133.525400,18.387980
0.307,-2.791442,-1.950902,-133.520500,18.447980
0.308,-2.792317,-1.949145,-133.515700,18.507980
0.309,-2.793190,-1.947387,-133.510900,18.567980
0.310,-2.794061,-1.945629,-133.506100,18.627980
0.311,-2.794930,-1.943870,-133.501300,18.687980
0.312,-2.795798,-1.942109,-133.496400,18.747980
0.313,-2.796664,-1.940348,-133.491600,18.807980
0.314,-2.797528,-1.938586,-133.486800,18.867980
0.315,-2.798389,-1.936824,-133.482000,18.927980
0.316,-2.799249,-1.935061,-133.477200,18.987980
0.317,-2.800107,-1.933296,-133.472400,19.047980
0.318,-2.800963,-1.931530,-133.467500,19.107980
0.319,-2.801818,-1.929764,-133.462700,19.167980
0.320,-2.802670,-1.927997,-133.457900,19.227980
0.321,-2.803521,-1.926229,-133.453100,19.287980
0.322,-2.804369,-1.924461,-133.448300,19.347980
0.323,-2.805216,-1.922692,-133.443400,19.407980
0.324,-2.806061,-1.920921,-133.438600,19.467980
0.325,-2.806904,-1.919150,-133.433800,19.527980
0.326,-2.807745,-1.917377,-133.429000,19.587970
0.327,-2.808584,-1.915605,-133.424200,19.647980
0.328,-2.809422,-1.913831,-133.419300,19.707980
0.329,-2.810257,-1.912056,-133.414500,19.767980
0.330,-2.811091,-1.910280,-133.409700,19.827980
0.331,-2.811923,-1.908504,-133.404900,19.887980
0.332,-2.812752,-1.906727,-133.400100,19.947980
0.333,-2.813580,-1.904949,-133.395200,20.007980
0.334,-2.814406,-1.903170,-133.390400,20.067980
0.335,-2.815231,-1.901391,-133.385600,20.127980
0.336,-2.816053,-1.899610,-133.380800,20.187980
0.337,-2.816873,-1.897829,-133.376000,20.247980
0.338,-2.817692,-1.896047,-133.371200,20.307980
0.339,-2.818508,-1.894264,-133.366300,20.367980
0.340,-2.819323,-1.892480,-133.361500,20.427970
0.341,-2.820136,-1.890696,-133.356700,20.487980
0.342,-2.820947,-1.888911,-133.351900,20.547980
0.343,-2.821756,-1.887124,-133.347000,20.607980
0.344,-2.822562,-1.885339,-133.342200,20.667980
0.345,-2.823367,-1.883551,-133.337400,20.727980
0.346,-2.824171,-1.881762,-133.332600,20.787980
0.347,-2.824972,-1.879973,-133.327800,20.847980
0.348,-2.825772,-1.878183,-133.323000,20.907980
0.349,-2.826569,-1.876392,-133.318100,20.967980
0.350,-2.827364,-1.874600,-133.313300,21.027980
0.351,-2.828158,-1.872808,-133.308500,21.087980
0.352,-2.828950,-1.871014,-133.303700,21.147980
0.353,-2.829740,-1.869220,-133.298900,21.207980
0.354,-2.830528,-1.867425,-133.294000,21.267970
0.355,-2.831314,-1.865630,-133.289200,21.327980
0.356,-2.832098,-1.863834,-133.284400,21.387980
0.357,-2.832880,-1.862036,-133.279600,21.447980
0.358,-2.833661,-1.860238,-133.274800,21.507970
0.359,-2.834439,-1.858440,-133.269900,21.567980
0.360,-2.835216,-1.856640,-133.265100,21.627980
0.361,-2.835990,-1.854840,-133.260300,21.687980
0.362,-2.836763,-1.853039,-133.255500,21.747980
0.363,-2.837533,-1.851237,-133.250700,21.807980
0.364,-2.838302,-1.849435,-133.245800,21.867980
0.365,-2.839069,-1.847631,-133.241000,21.927980
0.366,-2.839833,-1.845828,-133.236200,21.987980
0.367,-2.840597,-1.844024,-133.231400,22.047980
0.368,-2.841358,-1.842218,-133.226600,22.107980
0.369,-2.842117,-1.840412,-133.221800,22.167980
