# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2555
# Generated: 2026-07-20 11:52:53
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740000,0.770000,-116.767000,113.485700,50

Time,X,Z,Theta1,Theta2
0.101,-0.208280,3.439626,-6.060000,5.581396
0.102,-0.210335,3.439420,-6.120000,5.636657
0.103,-0.212390,3.439212,-6.180001,5.691919
0.104,-0.214444,3.439002,-6.240000,5.747180
0.105,-0.216498,3.438789,-6.300000,5.802441
0.106,-0.218553,3.438575,-6.360000,5.857702
0.107,-0.220606,3.438359,-6.420001,5.912964
0.108,-0.222660,3.438141,-6.480000,5.968225
0.109,-0.224713,3.437920,-6.540000,6.023487
0.110,-0.226766,3.437698,-6.600000,6.078748
0.111,-0.228819,3.437473,-6.660001,6.134009
0.112,-0.230872,3.437247,-6.720000,6.189270
0.113,-0.232924,3.437018,-6.780000,6.244532
0.114,-0.234976,3.436788,-6.840001,6.299794
0.115,-0.237028,3.436555,-6.900000,6.355055
0.116,-0.239080,3.436321,-6.960001,6.410316
0.117,-0.241131,3.436085,-7.020000,6.465577
0.118,-0.243182,3.435846,-7.080000,6.520839
0.119,-0.245233,3.435605,-7.140000,6.576100
0.120,-0.247284,3.435363,-7.200000,6.631361
0.121,-0.249334,3.435118,-7.260000,6.686623
0.122,-0.251385,3.434871,-7.320001,6.741884
0.123,-0.253434,3.434623,-7.380000,6.797145
0.124,-0.255484,3.434372,-7.440001,6.852407
0.125,-0.257533,3.434119,-7.500000,6.907668
0.126,-0.259582,3.433865,-7.560000,6.962929
0.127,-0.261631,3.433608,-7.620000,7.018191
0.128,-0.263680,3.433349,-7.680001,7.073452
0.129,-0.265728,3.433089,-7.740000,7.128714
0.130,-0.267776,3.432826,-7.800001,7.183975
0.131,-0.269824,3.432561,-7.860001,7.239236
0.132,-0.271871,3.432294,-7.920000,7.294497
0.133,-0.273919,3.432025,-7.980000,7.349759
0.134,-0.275966,3.431755,-8.040000,7.405020
0.135,-0.278012,3.431482,-8.100000,7.460281
0.136,-0.280059,3.431207,-8.160001,7.515543
0.137,-0.282105,3.430930,-8.220000,7.570805
0.138,-0.284150,3.430651,-8.280001,7.626066
0.139,-0.286196,3.430370,-8.340001,7.681327
0.140,-0.288241,3.430087,-8.400001,7.736588
0.141,-0.290286,3.429802,-8.460000,7.791850
0.142,-0.292331,3.429515,-8.520000,7.847111
0.143,-0.294375,3.429226,-8.580001,7.902373
0.144,-0.296419,3.428935,-8.640000,7.957633
0.145,-0.298462,3.428643,-8.700001,8.012896
0.146,-0.300506,3.428347,-8.760001,8.068156
0.147,-0.302549,3.428050,-8.820001,8.123418
0.148,-0.304592,3.427751,-8.880000,8.178679
0.149,-0.306634,3.427450,-8.940000,8.233940
0.150,-0.308676,3.427147,-9.000000,8.289202
0.151,-0.310718,3.426842,-9.060000,8.344462
0.152,-0.312760,3.426535,-9.120001,8.399725
0.153,-0.314801,3.426226,-9.180000,8.454986
0.154,-0.316842,3.425915,-9.240001,8.510248
0.155,-0.318882,3.425602,-9.300000,8.565508
0.156,-0.320922,3.425287,-9.360001,8.620770
0.157,-0.322962,3.424970,-9.420000,8.676031
0.158,-0.325002,3.424651,-9.480000,8.731293
0.159,-0.327041,3.424329,-9.540001,8.786554
0.160,-0.329080,3.424006,-9.600000,8.841815
0.161,-0.331118,3.423681,-9.660001,8.897077
0.162,-0.333157,3.423354,-9.719999,8.952337
0.163,-0.335194,3.423025,-9.780001,9.007599
0.164,-0.337232,3.422694,-9.840000,9.062860
0.165,-0.339269,3.422360,-9.900001,9.118122
0.166,-0.341306,3.422025,-9.960000,9.173383
0.167,-0.343342,3.421688,-10.020000,9.228645
0.168,-0.345379,3.421349,-10.080000,9.283906
0.169,-0.347414,3.421008,-10.140000,9.339169
0.170,-0.349450,3.420665,-10.200000,9.394428
0.171,-0.351485,3.420319,-10.260000,9.449690
0.172,-0.353519,3.419972,-10.320000,9.504951
0.173,-0.355554,3.419623,-10.380000,9.560212
0.174,-0.357588,3.419272,-10.440000,9.615474
0.175,-0.359621,3.418919,-10.500000,9.670735
0.176,-0.361654,3.418563,-10.560000,9.725997
0.177,-0.363687,3.418206,-10.620000,9.781258
0.178,-0.365720,3.417847,-10.680000,9.836519
0.179,-0.367752,3.417486,-10.740000,9.891780
0.180,-0.369784,3.417123,-10.800000,9.947042
0.181,-0.371815,3.416757,-10.860000,10.002300
0.182,-0.373846,3.416390,-10.920000,10.057570
0.183,-0.375876,3.416021,-10.980000,10.112830
0.184,-0.377907,3.415650,-11.040000,10.168090
0.185,-0.379936,3.415277,-11.100000,10.223350
0.186,-0.381966,3.414901,-11.160000,10.278610
0.187,-0.383995,3.414524,-11.220000,10.333870
0.188,-0.386023,3.414145,-11.280000,10.389130
0.189,-0.388052,3.413764,-11.340000,10.444390
0.190,-0.390079,3.413381,-11.400000,10.499660
0.191,-0.392107,3.412995,-11.460000,10.554920
0.192,-0.394134,3.412608,-11.520000,10.610180
0.193,-0.396161,3.412219,-11.580000,10.665440
0.194,-0.398187,3.411828,-11.640000,10.720700
0.195,-0.400213,3.411435,-11.700000,10.775960
0.196,-0.402238,3.411040,-11.760000,10.831220
0.197,-0.404263,3.410642,-11.820000,10.886490
0.198,-0.406288,3.410243,-11.880000,10.941750
0.199,-0.408312,3.409842,-11.940000,10.997010
0.200,-0.410335,3.409439,-12.000000,11.052270
0.201,-0.412359,3.409034,-12.060000,11.107530
0.202,-0.414382,3.408627,-12.120000,11.162790
0.203,-0.416404,3.408218,-12.180000,11.218050
0.204,-0.418426,3.407807,-12.240000,11.273310
0.205,-0.420448,3.407394,-12.300000,11.328580
0.206,-0.422469,3.406979,-12.360000,11.383840
0.207,-0.424490,3.406561,-12.420000,11.439100
0.208,-0.426510,3.406142,-12.480000,11.494360
0.209,-0.428530,3.405721,-12.540000,11.549620
0.210,-0.430549,3.405298,-12.600000,11.604880
0.211,-0.432568,3.404873,-12.660000,11.660140
0.212,-0.434587,3.404446,-12.720000,11.715400
0.213,-0.436605,3.404017,-12.780000,11.770670
0.214,-0.438623,3.403586,-12.840000,11.825930
0.215,-0.440640,3.403154,-12.900000,11.881190
0.216,-0.442656,3.402719,-12.960000,11.936450
0.217,-0.444673,3.402282,-13.020000,11.991710
0.218,-0.446689,3.401843,-13.080000,12.046970
0.219,-0.448704,3.401402,-13.140000,12.102230
0.220,-0.450719,3.400959,-13.200000,12.157500
0.221,-0.452733,3.400514,-13.260000,12.212760
0.222,-0.454747,3.400068,-13.320000,12.268020
0.223,-0.456761,3.399619,-13.380000,12.323280
0.224,-0.458774,3.399168,-13.440000,12.378540
0.225,-0.460786,3.398715,-13.500000,12.433800
0.226,-0.462799,3.398260,-13.560000,12.489060
0.227,-0.464810,3.397804,-13.620000,12.544320
0.228,-0.466821,3.397345,-13.680000,12.599590
0.229,-0.468832,3.396884,-13.740000,12.654850
0.230,-0.470842,3.396422,-13.800000,12.710110
0.231,-0.472852,3.395957,-13.860000,12.765370
0.232,-0.474861,3.395490,-13.920000,12.820630
0.233,-0.476870,3.395022,-13.980000,12.875890
0.234,-0.478878,3.394551,-14.040000,12.931150
0.235,-0.480886,3.394079,-14.100000,12.986420
0.236,-0.482893,3.393604,-14.160000,13.041680
