# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=3960
# Generated: 2026-07-14 14:31:18
# WAYPOINTS:
# WP: -2.560000,-1.700000,-148.636400,54.212190,50
# WP: -2.160000,1.180000,-102.017100,89.250400,50
# WP: -0.680000,2.850000,-42.869300,63.909990,50

Time,X,Z,Theta1,Theta2
0.104,2.242207,-1.419963,85.865300,79.656720
0.105,2.241048,-1.422225,85.925300,79.644560
0.106,2.239888,-1.424487,85.985300,79.632400
0.107,2.238725,-1.426747,86.045300,79.620230
0.108,2.237559,-1.429007,86.105300,79.608070
0.109,2.236392,-1.431265,86.165300,79.595900
0.110,2.235222,-1.433523,86.225300,79.583740
0.111,2.234050,-1.435780,86.285300,79.571570
0.112,2.232875,-1.438036,86.345300,79.559410
0.113,2.231699,-1.440290,86.405300,79.547240
0.114,2.230520,-1.442544,86.465300,79.535080
0.115,2.229338,-1.444797,86.525300,79.522910
0.116,2.228154,-1.447049,86.585300,79.510750
0.117,2.226969,-1.449300,86.645300,79.498580
0.118,2.225780,-1.451550,86.705300,79.486420
0.119,2.224590,-1.453799,86.765300,79.474250
0.120,2.223397,-1.456048,86.825300,79.462090
0.121,2.222202,-1.458295,86.885300,79.449920
0.122,2.221005,-1.460541,86.945300,79.437760
0.123,2.219805,-1.462786,87.005290,79.425590
0.124,2.218603,-1.465030,87.065300,79.413430
0.125,2.217399,-1.467273,87.125300,79.401260
0.126,2.216192,-1.469515,87.185300,79.389100
0.127,2.214984,-1.471757,87.245300,79.376930
0.128,2.213773,-1.473997,87.305300,79.364770
0.129,2.212560,-1.476236,87.365300,79.352610
0.130,2.211344,-1.478474,87.425300,79.340440
0.131,2.210126,-1.480712,87.485300,79.328280
0.132,2.208906,-1.482948,87.545300,79.316110
0.133,2.207683,-1.485183,87.605300,79.303950
0.134,2.206459,-1.487418,87.665300,79.291780
0.135,2.205232,-1.489651,87.725300,79.279620
0.136,2.204003,-1.491883,87.785300,79.267450
