# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2763
# Generated: 2026-07-20 11:53:22
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740002,0.769999,-116.767000,113.485700,50
# WP: 1.770000,0.970000,12.479080,108.782400,50

Time,X,Z,Theta1,Theta2
0.100,-1.711851,0.596941,-122.767000,117.056900
0.101,-1.711480,0.595249,-122.827000,117.092600
0.102,-1.711108,0.593556,-122.887000,117.128300
0.103,-1.710734,0.591865,-122.947000,117.164000
0.104,-1.710358,0.590175,-123.007000,117.199800
0.105,-1.709981,0.588485,-123.067000,117.235500
0.106,-1.709602,0.586797,-123.127000,117.271200
0.107,-1.709221,0.585109,-123.187000,117.306900
0.108,-1.708838,0.583422,-123.247000,117.342600
0.109,-1.708454,0.581735,-123.307000,117.378300
0.110,-1.708068,0.580050,-123.367000,117.414000
0.111,-1.707680,0.578366,-123.427000,117.449700
0.112,-1.707290,0.576682,-123.487000,117.485500
0.113,-1.706899,0.574999,-123.547000,117.521200
0.114,-1.706506,0.573317,-123.607000,117.556900
0.115,-1.706111,0.571636,-123.667000,117.592600
0.116,-1.705715,0.569955,-123.727000,117.628300
0.117,-1.705317,0.568276,-123.787000,117.664000
0.118,-1.704917,0.566597,-123.847000,117.699700
0.119,-1.704515,0.564919,-123.907000,117.735400
0.120,-1.704112,0.563242,-123.967000,117.771100
0.121,-1.703707,0.561566,-124.027000,117.806900
0.122,-1.703300,0.559890,-124.087000,117.842600
0.123,-1.702893,0.558216,-124.147000,117.878300
0.124,-1.702482,0.556542,-124.207000,117.914000
0.125,-1.702071,0.554869,-124.267000,117.949700
0.126,-1.701657,0.553197,-124.327000,117.985400
0.127,-1.701242,0.551526,-124.387000,118.021100
0.128,-1.700825,0.549856,-124.447000,118.056800
0.129,-1.700406,0.548186,-124.507000,118.092600
0.130,-1.699986,0.546518,-124.567000,118.128300
0.131,-1.699564,0.544850,-124.627000,118.164000
0.132,-1.699140,0.543183,-124.687000,118.199700
0.133,-1.698715,0.541518,-124.747000,118.235400
0.134,-1.698288,0.539853,-124.807000,118.271100
0.135,-1.697859,0.538189,-124.867000,118.306800
0.136,-1.697429,0.536525,-124.927000,118.342500
0.137,-1.696997,0.534862,-124.987000,118.378300
0.138,-1.696562,0.533201,-125.047000,118.414000
0.139,-1.696127,0.531540,-125.107000,118.449700
0.140,-1.695690,0.529880,-125.167000,118.485400
0.141,-1.695251,0.528221,-125.227000,118.521100
0.142,-1.694810,0.526563,-125.287000,118.556800
0.143,-1.694368,0.524906,-125.347000,118.592500
0.144,-1.693924,0.523250,-125.407000,118.628200
0.145,-1.693478,0.521594,-125.467000,118.663900
0.146,-1.693031,0.519940,-125.527000,118.699700
0.147,-1.692582,0.518286,-125.587000,118.735400
0.148,-1.692131,0.516633,-125.647000,118.771100
0.149,-1.691679,0.514982,-125.707000,118.806800
0.150,-1.691225,0.513331,-125.767000,118.842500
0.151,-1.690769,0.511680,-125.827000,118.878200
0.152,-1.690312,0.510032,-125.887000,118.913900
0.153,-1.689852,0.508383,-125.947000,118.949600
0.154,-1.689391,0.506736,-126.007000,118.985400
0.155,-1.688929,0.505089,-126.067000,119.021100
0.156,-1.688465,0.503444,-126.127000,119.056800
0.157,-1.687999,0.501799,-126.187000,119.092500
0.158,-1.687532,0.500155,-126.247000,119.128200
0.159,-1.687063,0.498512,-126.307000,119.163900
0.160,-1.686592,0.496871,-126.367000,119.199600
0.161,-1.686120,0.495229,-126.427000,119.235300
0.162,-1.685646,0.493589,-126.487000,119.271000
0.163,-1.685170,0.491950,-126.547000,119.306800
0.164,-1.684692,0.490312,-126.607000,119.342500
0.165,-1.684213,0.488675,-126.667000,119.378200
0.166,-1.683732,0.487038,-126.727000,119.413900
0.167,-1.683250,0.485403,-126.787000,119.449600
0.168,-1.682766,0.483768,-126.847000,119.485300
0.169,-1.682280,0.482135,-126.907000,119.521000
0.170,-1.681792,0.480502,-126.967000,119.556700
0.171,-1.681304,0.478870,-127.027000,119.592500
0.172,-1.680813,0.477240,-127.087000,119.628200
0.173,-1.680320,0.475610,-127.147000,119.663900
0.174,-1.679826,0.473981,-127.207000,119.699600
0.175,-1.679331,0.472353,-127.267000,119.735300
0.176,-1.678834,0.470726,-127.327000,119.771000
0.177,-1.678334,0.469099,-127.387000,119.806700
0.178,-1.677834,0.467474,-127.447000,119.842400
0.179,-1.677332,0.465850,-127.507000,119.878200
0.180,-1.676828,0.464226,-127.567000,119.913900
0.181,-1.676322,0.462604,-127.627000,119.949600
0.182,-1.675815,0.460983,-127.687000,119.985300
0.183,-1.675306,0.459363,-127.747000,120.021000
0.184,-1.674796,0.457743,-127.807000,120.056700
0.185,-1.674284,0.456124,-127.867000,120.092400
0.186,-1.673770,0.454507,-127.927000,120.128100
0.187,-1.673254,0.452890,-127.987000,120.163900
0.188,-1.672737,0.451275,-128.047000,120.199600
0.189,-1.672219,0.449660,-128.107000,120.235300
0.190,-1.671699,0.448046,-128.167000,120.271000
0.191,-1.671177,0.446433,-128.227000,120.306700
0.192,-1.670653,0.444821,-128.287000,120.342400
0.193,-1.670128,0.443211,-128.347000,120.378100
0.194,-1.669601,0.441601,-128.407000,120.413800
0.195,-1.669073,0.439992,-128.467000,120.449500
0.196,-1.668543,0.438384,-128.527000,120.485300
0.197,-1.668011,0.436777,-128.587000,120.521000
0.198,-1.667478,0.435171,-128.647000,120.556700
0.199,-1.666943,0.433566,-128.707000,120.592400
