# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9249
# Generated: 2026-07-15 16:00:29
# WAYPOINTS:
# WP: -1.560000,2.380000,-65.005420,69.049390,100
# WP: -2.750000,1.160000,-94.978820,60.372510,29
# WP: -0.460000,1.640000,-69.218830,121.331200,19
# WP: -1.410000,0.470000,-127.873900,129.558900,100
# WP: -2.080000,-0.150000,-141.803900,105.993100,50
# WP: 1.360000,1.060000,-1.193326,120.519100,50
# WP: 2.380000,1.570000,24.972110,68.724780,50
# WP: 2.690000,0.380000,46.951810,76.325600,50
# WP: 1.580000,2.640000,5.972063,53.944580,50

Time,X,Z,Theta1,Theta2
0.094,-0.321694,3.418275,-10.619370,11.280000
0.095,-0.325074,3.417598,-10.732350,11.400000
0.096,-0.328453,3.416915,-10.845320,11.520000
0.097,-0.331830,3.416224,-10.958290,11.640000
0.098,-0.335206,3.415526,-11.071260,11.760000
0.099,-0.338581,3.414822,-11.184230,11.880000
0.100,-0.341954,3.414110,-11.297200,12.000000
0.101,-0.345326,3.413391,-11.410180,12.120000
0.102,-0.348696,3.412665,-11.523150,12.240000
0.103,-0.352065,3.411932,-11.636120,12.360000
0.104,-0.355433,3.411191,-11.749090,12.480000
0.105,-0.358799,3.410444,-11.862070,12.600000
0.106,-0.362163,3.409690,-11.975040,12.720000
0.107,-0.365527,3.408929,-12.088010,12.840000
0.108,-0.368888,3.408160,-12.200980,12.960000
0.109,-0.372248,3.407385,-12.313950,13.080000
0.110,-0.375607,3.406603,-12.426930,13.200000
0.111,-0.378964,3.405813,-12.539900,13.320000
0.112,-0.382319,3.405017,-12.652870,13.440000
0.113,-0.385673,3.404213,-12.765840,13.560000
0.114,-0.389026,3.403403,-12.878810,13.680000
0.115,-0.392376,3.402585,-12.991790,13.800000
0.116,-0.395726,3.401761,-13.104760,13.920000
0.117,-0.399073,3.400929,-13.217730,14.040000
0.118,-0.402419,3.400090,-13.330700,14.160000
0.119,-0.405763,3.399245,-13.443670,14.280000
0.120,-0.409106,3.398392,-13.556650,14.400000
0.121,-0.412446,3.397533,-13.669620,14.520000
0.122,-0.415786,3.396666,-13.782590,14.640000
0.123,-0.419123,3.395792,-13.895560,14.760000
0.124,-0.422459,3.394912,-14.008530,14.880000
0.125,-0.425793,3.394024,-14.121510,15.000000
0.126,-0.429125,3.393130,-14.234480,15.120000
0.127,-0.432455,3.392228,-14.347450,15.240000
0.128,-0.435784,3.391320,-14.460420,15.360000
0.129,-0.439111,3.390404,-14.573400,15.480000
0.130,-0.442436,3.389482,-14.686370,15.600000
0.131,-0.445759,3.388552,-14.799340,15.720000
0.132,-0.449081,3.387616,-14.912310,15.840000
0.133,-0.452400,3.386673,-15.025280,15.960000
0.134,-0.455718,3.385722,-15.138260,16.080000
0.135,-0.459034,3.384765,-15.251230,16.200000
0.136,-0.462348,3.383801,-15.364200,16.320000
0.137,-0.465660,3.382830,-15.477170,16.440000
0.138,-0.468970,3.381852,-15.590140,16.560000
0.139,-0.472278,3.380867,-15.703120,16.680000
0.140,-0.475584,3.379875,-15.816090,16.800000
0.141,-0.478889,3.378876,-15.929060,16.920000
0.142,-0.482191,3.377870,-16.042030,17.040000
0.143,-0.485492,3.376857,-16.155000,17.160000
0.144,-0.488790,3.375838,-16.267980,17.280000
0.145,-0.492086,3.374811,-16.380950,17.400000
0.146,-0.495381,3.373778,-16.493920,17.520000
0.147,-0.498673,3.372737,-16.606890,17.640000
0.148,-0.501963,3.371690,-16.719860,17.760000
0.149,-0.505251,3.370636,-16.832840,17.880000
0.150,-0.508537,3.369575,-16.945810,18.000000
0.151,-0.511821,3.368507,-17.058780,18.120000
0.152,-0.515104,3.367432,-17.171750,18.240000
0.153,-0.518383,3.366350,-17.284730,18.360000
0.154,-0.521661,3.365262,-17.397700,18.480000
0.155,-0.524936,3.364166,-17.510670,18.600000
0.156,-0.528210,3.363064,-17.623640,18.720000
0.157,-0.531481,3.361955,-17.736610,18.840000
0.158,-0.534750,3.360839,-17.849580,18.960000
0.159,-0.538017,3.359716,-17.962560,19.080000
0.160,-0.541281,3.358586,-18.075530,19.200000
0.161,-0.544544,3.357449,-18.188500,19.320000
0.162,-0.547804,3.356306,-18.301470,19.440000
0.163,-0.551062,3.355156,-18.414450,19.560000
0.164,-0.554317,3.353999,-18.527420,19.680000
0.165,-0.557571,3.352834,-18.640390,19.800000
0.166,-0.560822,3.351664,-18.753360,19.920000
0.167,-0.564070,3.350486,-18.866330,20.040000
0.168,-0.567317,3.349302,-18.979310,20.160000
0.169,-0.570561,3.348110,-19.092280,20.280000
0.170,-0.573802,3.346913,-19.205250,20.400000
0.171,-0.577042,3.345708,-19.318220,20.520000
0.172,-0.580279,3.344496,-19.431190,20.640000
0.173,-0.583514,3.343278,-19.544170,20.760000
0.174,-0.586746,3.342052,-19.657140,20.880000
0.175,-0.589976,3.340820,-19.770110,21.000000
0.176,-0.593203,3.339582,-19.883080,21.120000
0.177,-0.596428,3.338336,-19.996050,21.240000
0.178,-0.599650,3.337084,-20.109030,21.360000
0.179,-0.602870,3.335825,-20.222000,21.480000
0.180,-0.606088,3.334559,-20.334970,21.600000
0.181,-0.609303,3.333286,-20.447940,21.720000
0.182,-0.612515,3.332007,-20.560910,21.840000
0.183,-0.615725,3.330721,-20.673890,21.960000
0.184,-0.618933,3.329428,-20.786860,22.080000
0.185,-0.622138,3.328129,-20.899830,22.200000
0.186,-0.625340,3.326822,-21.012800,22.320000
0.187,-0.628540,3.325509,-21.125770,22.440000
0.188,-0.631737,3.324189,-21.238750,22.560000
0.189,-0.634932,3.322863,-21.351720,22.680000
0.190,-0.638124,3.321530,-21.464690,22.800000
0.191,-0.641313,3.320190,-21.577670,22.920000
0.192,-0.644500,3.318844,-21.690640,23.040000
0.193,-0.647684,3.317490,-21.803610,23.160000
0.194,-0.650865,3.316130,-21.916580,23.280000
0.195,-0.654044,3.314764,-22.029550,23.400000
0.196,-0.657220,3.313390,-22.142520,23.520000
0.197,-0.660393,3.312011,-22.255500,23.640000
0.198,-0.663564,3.310624,-22.368470,23.760000
0.199,-0.666732,3.309231,-22.481440,23.880000
0.200,-0.669897,3.307831,-22.594410,24.000000
0.201,-0.673059,3.306424,-22.707380,24.120000
0.202,-0.676219,3.305011,-22.820360,24.240000
0.203,-0.679376,3.303591,-22.933330,24.360000
0.204,-0.682530,3.302165,-23.046300,24.480000
0.205,-0.685681,3.300731,-23.159270,24.600000
